nohup: ignoring input
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 12500 Training Error: 76.55860137939453 Validation Error: 90.42021179199219 Test Error: 100.92955780029297
Round: 13000 Training Error: 76.57161712646484 Validation Error: 90.16107177734375 Test Error: 100.60350036621094
Round: 13500 Training Error: 76.5973129272461 Validation Error: 90.71754455566406 Test Error: 100.82574462890625
Round: 14000 Training Error: 76.43233489990234 Validation Error: 90.33287048339844 Test Error: 100.75390625
Round: 14500 Training Error: 77.93634033203125 Validation Error: 88.4698715209961 Test Error: 101.27239990234375
Round: 15000 Training Error: 76.43186950683594 Validation Error: 89.11927795410156 Test Error: 100.75083923339844
Round: 15500 Training Error: 76.38898468017578 Validation Error: 89.00868225097656 Test Error: 100.88643646240234
Round: 16000 Training Error: 76.40365600585938 Validation Error: 89.11907958984375 Test Error: 101.09339141845703
Round: 16500 Training Error: 76.30949401855469 Validation Error: 88.68362426757812 Test Error: 100.985107421875
Round: 17000 Training Error: 76.29879760742188 Validation Error: 88.79881286621094 Test Error: 100.94889068603516
Round: 17500 Training Error: 76.20726013183594 Validation Error: 88.96736907958984 Test Error: 101.19969940185547
Round: 18000 Training Error: 76.25093841552734 Validation Error: 89.05001068115234 Test Error: 101.18695068359375
Round: 18500 Training Error: 76.54828643798828 Validation Error: 89.14286041259766 Test Error: 101.24037170410156
Round: 19000 Training Error: 76.33936309814453 Validation Error: 88.64684295654297 Test Error: 101.27525329589844
Round: 19500 Training Error: 76.24014282226562 Validation Error: 88.94639587402344 Test Error: 101.60248565673828
Round: 20000 Training Error: 76.2352523803711 Validation Error: 89.00162506103516 Test Error: 101.065673828125
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 500 Training Error: 89.91342163085938 Validation Error: 101.3799057006836 Test Error: 111.34609985351562
Round: 1000 Training Error: 86.68428039550781 Validation Error: 97.94486999511719 Test Error: 107.32599639892578
Round: 1500 Training Error: 84.30677032470703 Validation Error: 94.11717224121094 Test Error: 102.81140899658203
Round: 2000 Training Error: 83.91644287109375 Validation Error: 93.50869750976562 Test Error: 102.50271606445312
Round: 2500 Training Error: 83.49604797363281 Validation Error: 94.1073989868164 Test Error: 102.19271087646484
Round: 3000 Training Error: 83.3172836303711 Validation Error: 95.2058334350586 Test Error: 103.13003540039062
Round: 3500 Training Error: 83.176513671875 Validation Error: 95.44541931152344 Test Error: 103.15300750732422
Round: 4000 Training Error: 83.02935028076172 Validation Error: 95.26019287109375 Test Error: 102.82892608642578
