nohup: ignoring input
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 19500 Training Error: 65.24796295166016 Validation Error: 102.07296752929688 Test Error: 87.1301040649414
Round: 20000 Training Error: 65.31104278564453 Validation Error: 101.78585815429688 Test Error: 86.9800796508789
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 500 Training Error: 76.73309326171875 Validation Error: 102.84097290039062 Test Error: 90.87071990966797
Round: 1000 Training Error: 74.80872344970703 Validation Error: 101.50413513183594 Test Error: 89.9877700805664
Round: 1500 Training Error: 74.2997055053711 Validation Error: 101.04788208007812 Test Error: 90.04309844970703
Round: 2000 Training Error: 73.62939453125 Validation Error: 101.20985412597656 Test Error: 90.49906921386719
Round: 2500 Training Error: 73.21593475341797 Validation Error: 100.86053466796875 Test Error: 89.89153289794922
Round: 3000 Training Error: 73.10082244873047 Validation Error: 101.13983917236328 Test Error: 89.74870300292969
Round: 3500 Training Error: 72.9771499633789 Validation Error: 101.56147766113281 Test Error: 90.36625671386719
Round: 4000 Training Error: 72.53231048583984 Validation Error: 100.53236389160156 Test Error: 89.45052337646484
Round: 4500 Training Error: 72.50328826904297 Validation Error: 100.74612426757812 Test Error: 89.32389831542969
Round: 5000 Training Error: 72.68460083007812 Validation Error: 100.32550048828125 Test Error: 89.0450668334961
Round: 5500 Training Error: 72.36898040771484 Validation Error: 100.3705825805664 Test Error: 89.10603332519531
Round: 6000 Training Error: 72.20242309570312 Validation Error: 100.67169189453125 Test Error: 89.38392639160156
Round: 6500 Training Error: 72.1059341430664 Validation Error: 100.59271240234375 Test Error: 89.7137222290039
Round: 7000 Training Error: 72.0985107421875 Validation Error: 100.80262756347656 Test Error: 89.73187255859375
Round: 7500 Training Error: 72.21741485595703 Validation Error: 100.66268920898438 Test Error: 89.9805908203125
Round: 8000 Training Error: 72.00376892089844 Validation Error: 99.97003173828125 Test Error: 88.8906478881836
Round: 8500 Training Error: 72.04850769042969 Validation Error: 100.65131378173828 Test Error: 89.51793670654297
Round: 9000 Training Error: 72.12812805175781 Validation Error: 100.73170471191406 Test Error: 89.23263549804688
Round: 9500 Training Error: 71.89256286621094 Validation Error: 100.41921997070312 Test Error: 89.3518295288086
Round: 10000 Training Error: 71.7038803100586 Validation Error: 101.01850128173828 Test Error: 90.11846923828125
Round: 10500 Training Error: 71.92687225341797 Validation Error: 101.68717193603516 Test Error: 90.17047119140625
Round: 11000 Training Error: 71.72455596923828 Validation Error: 101.09461212158203 Test Error: 90.32096862792969
Round: 11500 Training Error: 71.78396606445312 Validation Error: 101.02131652832031 Test Error: 90.29993438720703
Round: 12000 Training Error: 71.64422607421875 Validation Error: 101.47669982910156 Test Error: 90.44661712646484
Round: 12500 Training Error: 71.6694107055664 Validation Error: 101.09873962402344 Test Error: 90.30030059814453
