nohup: ignoring input
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'residual', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'dr', 'mw', 'residual', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'dr', 'residual', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'dr', 'residual', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'mw', 'hvac', 'dr', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'mw', 'hvac', 'residual', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'mw', 'dr', 'hvac', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'mw', 'dr', 'residual', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'mw', 'residual', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'mw', 'residual', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'residual', 'hvac', 'dr', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'residual', 'hvac', 'mw', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'residual', 'dr', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'residual', 'dr', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'residual', 'mw', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'dw', 'residual', 'mw', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'mw', 'hvac', 'dr', 'dw', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'mw', 'hvac', 'dr', 'residual', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'mw', 'hvac', 'dw', 'dr', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['fridge', 'mw', 'hvac', 'dw', 'residual', 'dr']
