nohup: ignoring input
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'mw', 'hvac', 'fridge', 'residual', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'dr', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'mw', 'dr', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dr', 'dw', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dr', 'residual', 'dw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dw', 'dr', 'residual']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'mw', 'fridge', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'mw', 'dr', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'hvac', 'dr', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'hvac', 'mw', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'dr', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'dr', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'mw', 'hvac', 'dr']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'mw', 'dr', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'hvac', 'fridge', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'hvac', 'mw', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'fridge', 'hvac', 'mw']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'fridge', 'mw', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'mw', 'hvac', 'fridge']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'mw', 'fridge', 'hvac']
5 3 RNN 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'hvac', 'fridge', 'dr']
