nohup: ignoring input
5 0 0.01 20000 0.8 ['dr', 'dw', 'residual', 'mw', 'hvac', 'fridge']
Round: 15000 Training Error: 159.59632873535156 Validation Error: 178.90260314941406 Test Error: 147.12960815429688
Round: 15500 Training Error: 112.21487426757812 Validation Error: 177.4378204345703 Test Error: 146.55921936035156
Round: 16000 Training Error: 168.4482879638672 Validation Error: 157.5064239501953 Test Error: 138.5795440673828
Round: 16500 Training Error: 109.94098663330078 Validation Error: 170.7065887451172 Test Error: 144.4931640625
Round: 17000 Training Error: 112.12144470214844 Validation Error: 169.29708862304688 Test Error: 143.41293334960938
Round: 17500 Training Error: 111.86449432373047 Validation Error: 163.1595916748047 Test Error: 138.94818115234375
Round: 18000 Training Error: 111.82286071777344 Validation Error: 174.40980529785156 Test Error: 143.11813354492188
Round: 18500 Training Error: 111.22258758544922 Validation Error: 171.46510314941406 Test Error: 140.99249267578125
Round: 19000 Training Error: 157.54420471191406 Validation Error: 167.61289978027344 Test Error: 138.84747314453125
Round: 19500 Training Error: 157.31747436523438 Validation Error: 167.90426635742188 Test Error: 139.80987548828125
Round: 20000 Training Error: 114.68035125732422 Validation Error: 166.93310546875 Test Error: 136.33795166015625
5 0 0.01 20000 0.8 ['dr', 'dw', 'residual', 'mw', 'fridge', 'hvac']
Round: 500 Training Error: 181.28433227539062 Validation Error: 183.1544647216797 Test Error: 154.79507446289062
Round: 1000 Training Error: 170.93687438964844 Validation Error: 179.25949096679688 Test Error: 153.7023162841797
Round: 1500 Training Error: 163.63389587402344 Validation Error: 166.5706329345703 Test Error: 148.56484985351562
Round: 2000 Training Error: 160.22593688964844 Validation Error: 175.45404052734375 Test Error: 155.50540161132812
Round: 2500 Training Error: 158.10986328125 Validation Error: 177.08389282226562 Test Error: 158.65481567382812
Round: 3000 Training Error: 158.97361755371094 Validation Error: 172.71485900878906 Test Error: 152.34783935546875
Round: 3500 Training Error: 157.36721801757812 Validation Error: 179.859619140625 Test Error: 159.1567840576172
Round: 4000 Training Error: 138.13931274414062 Validation Error: 173.2747039794922 Test Error: 155.95753479003906
Round: 4500 Training Error: 155.09226989746094 Validation Error: 184.00692749023438 Test Error: 166.25457763671875
Round: 5000 Training Error: 154.47511291503906 Validation Error: 185.739990234375 Test Error: 164.162109375
Round: 5500 Training Error: 154.11265563964844 Validation Error: 177.8790283203125 Test Error: 159.36936950683594
Round: 6000 Training Error: 155.4737091064453 Validation Error: 172.6514434814453 Test Error: 148.626220703125
Round: 6500 Training Error: 153.04103088378906 Validation Error: 178.5763702392578 Test Error: 160.66552734375
Round: 7000 Training Error: 154.1509246826172 Validation Error: 176.96578979492188 Test Error: 153.04371643066406
Round: 7500 Training Error: 133.56101989746094 Validation Error: 188.1645050048828 Test Error: 168.7683563232422
Round: 8000 Training Error: 154.957763671875 Validation Error: 178.55369567871094 Test Error: 156.09286499023438
Round: 8500 Training Error: 151.98507690429688 Validation Error: 179.16085815429688 Test Error: 159.47763061523438
Round: 9000 Training Error: 154.12986755371094 Validation Error: 176.46458435058594 Test Error: 151.19021606445312
Round: 9500 Training Error: 131.9599609375 Validation Error: 183.24765014648438 Test Error: 163.3968048095703
Round: 10000 Training Error: 152.85008239746094 Validation Error: 178.43592834472656 Test Error: 157.70233154296875
Round: 10500 Training Error: 151.36444091796875 Validation Error: 178.18203735351562 Test Error: 160.97613525390625
Round: 11000 Training Error: 152.8577423095703 Validation Error: 176.7067108154297 Test Error: 149.73439025878906
Round: 11500 Training Error: 154.32760620117188 Validation Error: 189.0833740234375 Test Error: 157.64495849609375
Round: 12000 Training Error: 151.78692626953125 Validation Error: 176.431396484375 Test Error: 152.01104736328125
Round: 12500 Training Error: 149.81979370117188 Validation Error: 177.75001525878906 Test Error: 154.90151977539062
Round: 13000 Training Error: 151.7716522216797 Validation Error: 171.6842041015625 Test Error: 146.7985076904297
Round: 13500 Training Error: 149.8572235107422 Validation Error: 178.00982666015625 Test Error: 151.52114868164062
Round: 14000 Training Error: 150.26068115234375 Validation Error: 174.7052001953125 Test Error: 152.10569763183594
Round: 14500 Training Error: 149.81309509277344 Validation Error: 177.2518768310547 Test Error: 158.5519256591797
