nohup: ignoring input
5 4 LSTM 50 2 True 0.01 3000 0.0 ['dw', 'residual', 'hvac', 'fridge', 'mw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dr', 'dw', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dr', 'residual', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dw', 'dr', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'dw', 'residual', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'residual', 'dr', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'fridge', 'residual', 'dw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dr', 'fridge', 'dw', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dr', 'fridge', 'residual', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dr', 'dw', 'fridge', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dr', 'dw', 'residual', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dr', 'residual', 'fridge', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dr', 'residual', 'dw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dw', 'fridge', 'dr', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dw', 'fridge', 'residual', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dw', 'dr', 'fridge', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dw', 'dr', 'residual', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dw', 'residual', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'dw', 'residual', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'residual', 'fridge', 'dr', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'residual', 'fridge', 'dw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'residual', 'dr', 'fridge', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'residual', 'dr', 'dw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'residual', 'dw', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'hvac', 'residual', 'dw', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'hvac', 'dr', 'dw', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'hvac', 'dr', 'residual', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'hvac', 'dw', 'dr', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'hvac', 'dw', 'residual', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'hvac', 'residual', 'dr', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'hvac', 'residual', 'dw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dr', 'hvac', 'dw', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dr', 'hvac', 'residual', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dr', 'dw', 'hvac', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dr', 'dw', 'residual', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dr', 'residual', 'hvac', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dr', 'residual', 'dw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'hvac', 'dr', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'hvac', 'residual', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['mw', 'fridge', 'dw', 'dr', 'hvac', 'residual']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'hvac', 'mw', 'fridge', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'hvac', 'mw', 'dw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'fridge', 'hvac', 'dw', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'fridge', 'hvac', 'mw', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'fridge', 'dw', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'fridge', 'dw', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'fridge', 'mw', 'hvac', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'fridge', 'mw', 'dw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'dw', 'hvac', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'dw', 'hvac', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'dw', 'fridge', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'dw', 'fridge', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'dw', 'mw', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'dw', 'mw', 'fridge', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'mw', 'hvac', 'fridge', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'mw', 'hvac', 'dw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'mw', 'fridge', 'hvac', 'dw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'mw', 'fridge', 'dw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'mw', 'dw', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dr', 'mw', 'dw', 'fridge', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'fridge', 'dr', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'fridge', 'mw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'dr', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'dr', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'mw', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'hvac', 'mw', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'hvac', 'dr', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'hvac', 'mw', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'dr', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'dr', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'mw', 'hvac', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'fridge', 'mw', 'dr', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'hvac', 'fridge', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'hvac', 'mw', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'fridge', 'hvac', 'mw']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'fridge', 'mw', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'mw', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'dr', 'mw', 'fridge', 'hvac']
