nohup: ignoring input
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'dw', 'mw', 'hvac', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'hvac', 'fridge', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'hvac', 'dr', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'fridge', 'hvac', 'dr']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'fridge', 'dr', 'hvac']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'dr', 'hvac', 'fridge']
5 4 LSTM 50 2 True 0.01 3000 0.0 ['residual', 'mw', 'dw', 'dr', 'fridge', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'hvac', 'residual', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'fridge', 'hvac', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'fridge', 'residual', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'residual', 'hvac', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'dw', 'residual', 'fridge', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'residual', 'hvac', 'fridge', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'residual', 'hvac', 'dw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'residual', 'fridge', 'hvac', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'residual', 'fridge', 'dw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'residual', 'dw', 'hvac', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'mw', 'residual', 'dw', 'fridge', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'hvac', 'fridge', 'dw', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'hvac', 'fridge', 'mw', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'hvac', 'dw', 'fridge', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'hvac', 'dw', 'mw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'hvac', 'mw', 'fridge', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'hvac', 'mw', 'dw', 'fridge']
