nohup: ignoring input
2 4 RNN 50 1 0.001 3000 0.0 ['hvac', 'fridge', 'dr', 'dw', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'fridge', 'dw', 'hvac', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'fridge', 'dw', 'mw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'fridge', 'mw', 'hvac', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'fridge', 'mw', 'dw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'dw', 'hvac', 'fridge', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'dw', 'hvac', 'mw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'dw', 'fridge', 'hvac', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'dw', 'fridge', 'mw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'dw', 'mw', 'hvac', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'dw', 'mw', 'fridge', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'mw', 'hvac', 'fridge', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'mw', 'hvac', 'dw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'mw', 'fridge', 'hvac', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'mw', 'fridge', 'dw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'mw', 'dw', 'hvac', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dr', 'mw', 'dw', 'fridge', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'hvac', 'fridge', 'dr', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'hvac', 'fridge', 'mw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'hvac', 'dr', 'fridge', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'hvac', 'dr', 'mw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'hvac', 'mw', 'fridge', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'hvac', 'mw', 'dr', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'fridge', 'hvac', 'dr', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'fridge', 'hvac', 'mw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'fridge', 'dr', 'hvac', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'fridge', 'dr', 'mw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'fridge', 'mw', 'hvac', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'fridge', 'mw', 'dr', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'dr', 'hvac', 'fridge', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'dr', 'hvac', 'mw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'dr', 'fridge', 'hvac', 'mw']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'dr', 'fridge', 'mw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'dr', 'mw', 'hvac', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'dr', 'mw', 'fridge', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'mw', 'hvac', 'fridge', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'mw', 'hvac', 'dr', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'mw', 'fridge', 'hvac', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'mw', 'fridge', 'dr', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'mw', 'dr', 'hvac', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['dw', 'mw', 'dr', 'fridge', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'hvac', 'fridge', 'dr', 'dw']
