nohup: ignoring input
5 3 0.01 20000 0.8 ['dr', 'mw', 'dw', 'fridge', 'residual', 'hvac']
Round: 1000 Training Error: 146.7642364501953 Validation Error: 164.08468627929688 Test Error: 200.86981201171875
Round: 1500 Training Error: 142.3887481689453 Validation Error: 155.3551025390625 Test Error: 193.20899963378906
Round: 2000 Training Error: 137.92413330078125 Validation Error: 151.61880493164062 Test Error: 191.3912811279297
Round: 2500 Training Error: 136.2605743408203 Validation Error: 151.06700134277344 Test Error: 189.95993041992188
Round: 3000 Training Error: 136.73934936523438 Validation Error: 150.18692016601562 Test Error: 187.1038360595703
Round: 3500 Training Error: 135.34738159179688 Validation Error: 149.1038360595703 Test Error: 187.3146514892578
Round: 4000 Training Error: 125.2069091796875 Validation Error: 158.8944091796875 Test Error: 192.26589965820312
Round: 4500 Training Error: 133.07615661621094 Validation Error: 151.3931427001953 Test Error: 188.69674682617188
Round: 5000 Training Error: 132.89332580566406 Validation Error: 151.37217712402344 Test Error: 187.5596923828125
Round: 5500 Training Error: 132.83038330078125 Validation Error: 150.2622833251953 Test Error: 186.298095703125
Round: 6000 Training Error: 134.05813598632812 Validation Error: 147.6761932373047 Test Error: 185.42433166503906
Round: 6500 Training Error: 131.93209838867188 Validation Error: 151.91575622558594 Test Error: 187.26266479492188
Round: 7000 Training Error: 132.76898193359375 Validation Error: 150.34950256347656 Test Error: 184.47018432617188
Round: 7500 Training Error: 118.6895980834961 Validation Error: 149.544189453125 Test Error: 186.17239379882812
Round: 8000 Training Error: 132.8393096923828 Validation Error: 149.0784912109375 Test Error: 184.23529052734375
Round: 8500 Training Error: 131.0833282470703 Validation Error: 151.31634521484375 Test Error: 186.31910705566406
Round: 9000 Training Error: 132.38299560546875 Validation Error: 149.05316162109375 Test Error: 185.02835083007812
Round: 9500 Training Error: 118.0972900390625 Validation Error: 151.37644958496094 Test Error: 185.6002197265625
Round: 10000 Training Error: 131.90963745117188 Validation Error: 147.08502197265625 Test Error: 182.12075805664062
Round: 10500 Training Error: 131.56333923339844 Validation Error: 149.1766815185547 Test Error: 184.50595092773438
Round: 11000 Training Error: 131.33270263671875 Validation Error: 149.6550750732422 Test Error: 185.76739501953125
Round: 11500 Training Error: 133.77108764648438 Validation Error: 147.6363067626953 Test Error: 182.48757934570312
Round: 12000 Training Error: 131.02890014648438 Validation Error: 147.11709594726562 Test Error: 182.94578552246094
Round: 12500 Training Error: 129.14930725097656 Validation Error: 150.15042114257812 Test Error: 187.6540985107422
Round: 13000 Training Error: 129.6384735107422 Validation Error: 148.909423828125 Test Error: 187.518310546875
Round: 13500 Training Error: 129.5609130859375 Validation Error: 149.2056427001953 Test Error: 185.31455993652344
Round: 14000 Training Error: 129.7421112060547 Validation Error: 149.83599853515625 Test Error: 185.08493041992188
Round: 14500 Training Error: 129.58663940429688 Validation Error: 151.73556518554688 Test Error: 185.6947479248047
Round: 15000 Training Error: 128.8296356201172 Validation Error: 150.3772735595703 Test Error: 185.787109375
Round: 15500 Training Error: 112.68063354492188 Validation Error: 149.8215789794922 Test Error: 187.19427490234375
Round: 16000 Training Error: 129.1767578125 Validation Error: 149.93128967285156 Test Error: 186.3675994873047
Round: 16500 Training Error: 111.90956115722656 Validation Error: 151.5365753173828 Test Error: 189.4414825439453
Round: 17000 Training Error: 128.32398986816406 Validation Error: 148.90382385253906 Test Error: 185.74644470214844
Round: 17500 Training Error: 113.82791137695312 Validation Error: 149.19471740722656 Test Error: 186.5699005126953
Round: 18000 Training Error: 127.85538482666016 Validation Error: 149.6368408203125 Test Error: 190.09555053710938
Round: 18500 Training Error: 128.65438842773438 Validation Error: 147.54251098632812 Test Error: 185.88162231445312
Round: 19000 Training Error: 129.0330810546875 Validation Error: 147.84454345703125 Test Error: 187.01065063476562
Round: 19500 Training Error: 127.08312225341797 Validation Error: 147.22264099121094 Test Error: 185.94529724121094
Round: 20000 Training Error: 127.5560302734375 Validation Error: 146.75714111328125 Test Error: 184.6419219970703
5 3 0.01 20000 0.2 ['dr', 'mw', 'dw', 'residual', 'fridge', 'hvac']
Round: 500 Training Error: 133.68931579589844 Validation Error: 158.39466857910156 Test Error: 189.27166748046875
